company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
DaVita,Mid Level,Community First Culture,Prioritizing community relationships and enabling team members to thrive through personal-professional integration,"Tell me about a time when you had to balance supporting a team member's personal growth with achieving business objectives.",Values,Medium,"We tell our team that we want to be a community first and a company second.","Javier Rodriguez, CEO, Hispanic Executive, 2023"
DaVita,Senior,Run to the Fire,Embracing risk and visibility as a means to accelerate career growth and organizational impact,"Tell me about a time when you voluntarily took on a high-risk, high-visibility project that others were hesitant to pursue.",Leadership,Hard,"Want to put your career on steroids? Run to the fire.","Javier Rodriguez, CEO, Darden Report Online, 2015"
Quest Diagnostics,Leadership,Trust-Building Through Transparency,Opening communication channels and making symbolic changes to build organizational trust,"Tell me about a time when you made a small change that had a significant symbolic impact on team culture.",Culture Fit,Medium,"You don't really understand, when you enter a job or a situation ... that what might be viewed as a small change can actually be very symbolic. It changes the culture.","Steve Rusckowski, Former CEO, MIT Sloan, 2022"
Quest Diagnostics,Mid Level,Operational Excellence Focus,Driving accelerated growth through improved relationships and operational improvements,"Tell me about a time when you had to improve relationships with key stakeholders while simultaneously driving operational changes.",Problem Solving,Medium,"He focused on a two-point strategy to accelerate growth and drive operational excellence.","Steve Rusckowski, Former CEO, MIT Sloan, 2022"
Trane Technologies,Leadership,Employee-Driven Culture,Creating bottom-up cultural change where employees develop leadership principles and drive organizational values,"Tell me about a time when you involved your team in creating or reshaping company values or principles.",Teamwork,Hard,"Our people created our culture. Our people created our leadership principles.","Dave Regnery, CEO, Trane Technologies Blog, 2024"
Trane Technologies,Senior,Uplift One Another,Supporting and elevating colleagues as a core leadership principle developed by employees,"Tell me about a time when you actively worked to uplift a colleague who was struggling or facing challenges.",Values,Easy,"We uplift one another is their first leadership principle, which came directly from employees.","Dave Regnery, CEO, Trane Technologies Blog, 2024"
Trane Technologies,Mid Level,Sustainability as Strategy,Integrating sustainability commitments with strong financial performance without trade-offs,"Tell me about a time when you had to balance environmental or sustainability concerns with business performance goals.",Problem Solving,Medium,"Our ability to consistently deliver leading financial performance while advancing our bold sustainability commitments demonstrates there is no trade-off.","Dave Regnery, CEO, Trane Technologies, 2024"
Oshkosh Corporation,Senior,People First Culture,Prioritizing people and community impact through purpose-built solutions for difficult and dangerous work,"Tell me about a time when you had to make a decision that put people's safety or well-being ahead of short-term business gains.",Values,Medium,"At Oshkosh Corporation, our purpose is making a difference in people's lives.","John Pfeifer, CEO, Oshkosh Corporation, 2021"
Oshkosh Corporation,Leadership,Technology-Driven Innovation,Leveraging electrification, autonomy, and connected products to deliver advanced solutions faster,"Tell me about a time when you led the adoption of new technology to solve a long-standing problem or improve outcomes.",Leadership,Hard,"We are a technology company and technologies like electrification, autonomy and connected products are providing us the ability to deliver advanced solutions faster than ever before.","John Pfeifer, CEO, Oshkosh Corporation, 2021"
Clorox,Leadership,Do the Right Thing,Making fact-based decisions guided by moral principles without question,"Tell me about a time when you had to make a difficult decision based on facts rather than popular opinion or convenience.",Values,Hard,"Our number one principle, our number one value is 'do the right thing' without question.","Linda Rendle, CEO, Duke Fuqua, 2024"
Clorox,Mid Level,Embrace Risk and Failure,Taking calculated risks and learning from failure to achieve extraordinary results,"Tell me about a time when you took a significant risk that resulted in failure, and how you learned from that experience.",Problem Solving,Medium,"If you let yourself take risks and if you let yourself have the possibility to fail, you'll do amazing things.","Linda Rendle, CEO, Duke Fuqua, 2024"
Clorox,Senior,Inclusion for Better Results,Advancing diversity and inclusion as a business imperative that delivers superior outcomes,"Tell me about a time when you championed diversity or inclusion initiatives that led to improved business results.",Culture Fit,Medium,"The facts are that inclusion delivers better business results.","Linda Rendle, CEO, Duke Fuqua, 2024"
